movie_id,genres,avg_ratings,num_votes,region,category,artist_name,screen_time,movie_title,death_year,weighted_avg,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,foreign_gross,total_profit,roi
tt5996202,Drama,7.3,2098,FR,actor,Seung-bum Ryoo,114.0,The Net,,6.762203472704131e-05,16,1995-07-28,The Net,22.0,50.621733,110.521733,1995,7,59.9,88.521733,4.023715136363636
tt6288250,"Drama,Music",6.7,8581,UA,producer,Chris Columbus,109.0,Patti Cake$,,0.0002538473272621915,56,2017-08-18,Patti Cake$,1.0,0.800148,1.47109,2017,8,0.670942,0.47109,0.47109
tt2910904,"Comedy,Drama",7.1,46833,EE,actress,Kate Winslet,119.0,The Dressmaker,,0.0014681492838474887,57,2016-09-23,The Dressmaker,11.9,2.022115,24.041617,2016,9,22.019502,12.141616999999998,1.0203039495798318
tt2952692,"Documentary,Drama,Sport",6.5,156,BE,director,Steven Dhoedt,87.0,State of Play,,4.477110830485648e-06,15,2009-04-17,State of Play,60.0,37.017955,88.83221,2009,4,51.814255,28.832210000000003,0.4805368333333334
tt3850590,"Comedy,Fantasy,Horror",6.2,55400,US,actress,Toni Collette,98.0,Krampus,,0.0015165661026185504,28,2015-12-04,Krampus,15.0,42.725475,61.788393,2015,12,19.062917999999996,46.788393,3.1192262
tt3910736,"Action,Adventure,Comedy",4.1,2216,HU,actor,Antonio Banderas,92.0,Gun Shy,,4.0115619488619715e-05,86,2000-02-04,Gun Shy,10.0,1.638202,1.638202,2000,2,0.0,-8.361798,-0.8361798
tt5052474,"Action,Crime,Drama",7.1,95650,GB,actor,Josh Brolin,122.0,Sicario: Day of the Soldado,,0.002998494202805977,59,2018-06-29,Sicario: Day of the Soldado,35.0,50.06585,75.885196,2018,6,25.819345999999996,40.88519599999999,1.1681484571428569
tt3614530,"Adventure,Drama,Family",4.1,6683,PT,producer,Jason Blum,118.0,Jem and the Holograms,,0.00012098045353900974,53,2015-10-23,Jem and the Holograms,5.0,2.18464,2.368937,2015,10,0.18429699999999993,-2.631063,-0.5262126
tt3623726,"Comedy,Drama,Music",5.9,20932,BR,actor,Kevin Kline,101.0,Ricki and the Flash,,0.000545283841254419,95,2015-08-07,Ricki and the Flash,18.0,26.839498,41.166033,2015,8,14.326535,23.166033,1.2870018333333333
tt3687310,"Crime,Drama,Thriller",5.8,7739,GR,actor,Rob Brown,94.0,Criminal Activities,,0.0001981858897034959,67,2015-11-20,Criminal Activities,7.0,0.0,0.386744,2015,11,0.386744,-6.613256,-0.9447508571428571
tt4995790,"Comedy,Drama",7.2,44239,BR,actress,Elisabeth Moss,151.0,The Square,,0.0014063638297977838,10,2010-04-09,The Square,1.9,0.406216,0.740932,2010,4,0.334716,-1.159068,-0.6100357894736842
tt5911540,Action,4.1,20,IN,writer,Sudhakar Sharma,,Dangal,,3.6205432751461843e-07,56,2016-12-21,Dangal,9.5,12.391761,294.654618,2016,12,282.26285700000005,285.154618,30.016275578947372
tt6003368,"Comedy,Family",4.4,5635,HR,actress,Alicia Silverstone,91.0,Diary of a Wimpy Kid: The Long Haul,,0.000109472865809725,27,2017-05-19,Diary of a Wimpy Kid: The Long Haul,22.0,20.738724,35.609577,2017,5,14.870853,13.609577000000002,0.6186171363636365
tt2923316,"Action,Crime,Drama",5.1,15547,FR,actor,Adrien Brody,94.0,American Heist,,0.00035008754893092487,35,2015-07-21,American Heist,10.0,0.0,2.341218,2015,7,2.341218,-7.658782,-0.7658782000000001
tt3566698,"Comedy,Romance",4.9,701,IN,actor,T.R. Silambarasan,155.0,Vaalu,,1.5166102555853206e-05,14,2015-12-31,Vaalu,1.9,0.0,0.012444,2015,12,0.012444,-1.887556,-0.9934505263157896
tt4572514,"Action,Crime,Drama",7.4,76204,VE,actor,Mark Wahlberg,133.0,Patriots Day,,0.002489828183012652,69,2016-12-21,Patriots Day,40.0,31.886361,52.837989,2016,12,20.951628,12.837989,0.320949725
